author,title_count
Aristotle,48779
Beauvoir,13017
Berkeley,2734
Davis,3059
Deleuze,12540
Derrida,5999
Descartes,1132
Epictetus,323
Fichte,5308
Foucault,15240
Hegel,22700
Heidegger,15239
Hume,8312
Husserl,5742
Kant,14128
Keynes,3411
Kripke,12479
Leibniz,5027
Lenin,4469
Lewis,13120
Locke,8885
Malebranche,12997
Marcus Aurelius,2212
Marx,13489
Merleau-Ponty,7592
Moore,3668
Nietzsche,13548
Plato,38366
Popper,4678
Quine,7373
Ricardo,3090
Russell,5073
Smith,11693
Spinoza,3793
Wittgenstein,9034
Wollstonecraft,2559
